Alpine function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
4,227.28,0.01,6,10
5,295.14,0.08,7,10
6,248.12,0.11,4,10
7,218.29,0.05,1,10
8,292.13,0.04,7,10
9,178.82,0.52,6,10
10,300.42,1.09,3,10
11,343.13,0.06,1,10
12,280.28,0.10,3,10
13,297.79,0.34,5,10
14,256.70,0.11,8,10
15,164.54,0.05,7,10
16,193.65,2.23,1,10
17,334.64,0.11,0,10
18,163.42,0.08,2,10
19,389.53,0.07,2,10
20,391.67,0.03,4,10
1,379.19,0.10,8,30
2,285.65,0.04,6,30
3,222.14,0.03,5,30
4,410.13,0.08,5,30
5,314.50,0.15,7,30
6,246.36,0.17,4,30
7,387.01,0.04,5,30
8,97.44,0.07,4,30
9,257.03,0.02,1,30
10,232.01,0.02,8,30
11,295.22,0.15,6,30
12,166.07,0.10,5,30
13,147.03,0.01,8,30
14,93.48,0.02,7,30
15,285.76,0.10,8,30
16,103.77,0.06,1,30
17,312.85,0.06,7,30
18,305.48,0.06,7,30
19,248.25,0.04,5,30
20,255.93,0.05,7,30
Alpine function Generational GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,4485.12,51,6,2.04,14.87,8,10
2,2249.02,112,8,2.17,8.08,7,10
3,3379.66,41,8,1.87,19.11,7,10
4,2252.34,203,1,3.36,18.54,0,10
5,2207.63,184,7,6.87,20.23,7,10
6,2280.11,273,5,2.58,14.72,7,10
7,3373.18,456,4,2.53,14.49,4,10
8,3372.93,4,0,1.70,15.08,7,10
9,2262.97,354,7,3.52,20.93,8,10
10,2268.02,405,2,2.49,23.68,7,10
11,2269.68,206,7,2.24,4.44,7,10
12,2252.95,385,1,3.23,20.49,6,10
13,2237.46,317,4,3.37,20.64,7,10
14,3346.65,392,8,5.84,19.17,1,10
15,2270.76,110,3,3.20,19.90,6,10
16,2267.96,475,6,4.40,20.57,0,10
17,2282.00,38,6,5.88,17.83,8,10
18,3386.02,421,5,2.84,16.81,0,10
19,3370.68,258,0,3.65,20.06,0,10
20,2276.98,424,8,2.23,17.33,6,10
1,2246.81,124,5,4.28,13.32,0,30
2,2245.69,23,7,4.43,22.08,7,30
3,3384.28,140,6,1.52,28.74,2,30
4,2255.40,199,7,2.33,11.23,6,30
5,2251.95,358,0,4.03,20.96,0,30
6,3325.61,62,4,3.45,16.96,7,30
